,TIME,MONTH,DAY,YEAR,HOUR,WIND_SPEED,WIND_DIR,TEMP,RH,BAROMETER,RADIATION,INNER_TEMP,PM10,PM1,PM2.5
8268,42715.54,12,11,2016,13,1.5878,170.925,25.4099,0.363021,1012.69,519.22,29.2009,60.18600000000001,46.6078,50.161
8269,42715.58,12,11,2016,14,1.9449900000000002,169.017,26.5624,0.364323,1011.5,433.404,29.3701,53.023,41.7654,44.8882
8270,42715.63,12,11,2016,15,1.7047700000000001,153.622,26.8706,0.362543,1010.51,327.051,29.5937,57.638000000000005,43.5136,47.7753
8271,42715.67,12,11,2016,16,2.4627,151.832,25.9847,0.364931,1009.94,160.822,29.5704,47.997,33.0098,36.0883
8272,42715.71,12,11,2016,17,2.39181,143.899,25.5025,0.360417,1009.7,36.9663,29.4429,45.1319,32.6058,36.1739
8273,42715.75,12,11,2016,18,2.10158,159.83700000000002,24.8835,0.35781199999999996,1009.83,1.1150200000000001,28.6681,61.481,41.6098,47.2838
8274,42715.79,12,11,2016,19,3.17185,143.638,23.7736,0.35954899999999995,1010.2,1.16363,27.3217,49.3633,38.2067,40.7817
8275,42715.83,12,11,2016,20,2.61858,151.34799999999998,22.4626,0.362023,1010.75,1.1326399999999999,27.6625,48.1733,43.1367,45.0817
8276,42715.88,12,11,2016,21,2.75082,163.631,21.8552,0.362674,1011.26,1.12595,28.0263,53.161,47.729,49.8758
8277,42715.92,12,11,2016,22,2.74417,164.78400000000002,21.3733,0.35642399999999996,1011.61,1.1375,28.173000000000002,60.49,53.772,56.391999999999996
8278,42715.96,12,11,2016,23,1.8978700000000002,168.50099999999998,21.2464,0.360156,1011.54,1.1229200000000001,28.3819,67.857,60.367,63.973
8279,42716.0,12,12,2016,0,2.48336,169.575,21.3452,0.35967899999999997,1011.34,1.13325,27.7366,66.986,61.559,64.149
8280,42716.04,12,12,2016,1,2.14984,167.8,21.239,0.35941799999999996,1010.97,1.10955,26.8077,64.95,59.922,62.498000000000005
8281,42716.08,12,12,2016,2,1.55056,164.148,21.311,0.35841999999999996,1010.62,1.11319,26.5804,65.48,59.855,62.70399999999999
8282,42716.13,12,12,2016,3,1.57635,157.009,21.3556,0.359158,1009.95,1.12049,26.4616,68.313,60.803000000000004,64.582
8283,42716.17,12,12,2016,4,2.27602,164.6,21.1566,0.358767,1009.31,1.12049,26.3361,66.063,60.511,63.519
8284,42716.21,12,12,2016,5,2.2284200000000003,162.881,20.9649,0.359028,1009.26,1.12049,26.323,55.155,51.372,53.451
